GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.paymybuddy.paymybuddy.config,SecurityConfig,0,121,0,0,0,25,0,11,0,11
paymybuddy,com.paymybuddy.paymybuddy.config,ClockConfig,0,5,0,0,0,2,0,2,0,2
paymybuddy,com.paymybuddy.paymybuddy.model.viewmodel,ContactViewModel,46,0,0,0,7,0,10,0,10,0
paymybuddy,com.paymybuddy.paymybuddy.model.viewmodel,TransactionViewModel,157,0,18,0,19,0,25,0,16,0
paymybuddy,com.paymybuddy.paymybuddy.model.viewmodel,UserViewModel,145,0,18,0,18,0,23,0,14,0
paymybuddy,com.paymybuddy.paymybuddy.model.viewmodel,TransferViewModel,46,0,0,0,7,0,10,0,10,0
paymybuddy,com.paymybuddy.paymybuddy.model.viewmodel,ConnectionViewModel,115,0,14,0,15,0,19,0,12,0
paymybuddy,com.paymybuddy.paymybuddy.controller,HomeController,67,3,0,0,18,1,2,1,2,1
paymybuddy,com.paymybuddy.paymybuddy.controller,ExceptionHandlerController,72,7,0,0,18,2,9,2,9,2
paymybuddy,com.paymybuddy.paymybuddy.controller,LoginController,2,3,0,0,1,1,1,1,1,1
paymybuddy,com.paymybuddy.paymybuddy.controller,ProfileController,117,3,7,0,24,1,7,1,3,1
paymybuddy,com.paymybuddy.paymybuddy.controller,ConnectionController,9,7,0,0,2,2,2,2,2,2
paymybuddy,com.paymybuddy.paymybuddy.controller,SignUpController,30,3,0,0,8,1,2,1,2,1
paymybuddy,com.paymybuddy.paymybuddy.controller,TransferController,193,3,9,0,44,1,10,1,5,1
paymybuddy,com.paymybuddy.paymybuddy.controller,TransactionController,9,7,0,0,2,2,2,2,2,2
paymybuddy,com.paymybuddy.paymybuddy.controller,UserController,126,7,6,0,24,2,13,2,10,2
paymybuddy,com.paymybuddy.paymybuddy.controller,ContactController,16,3,0,0,4,1,2,1,2,1
paymybuddy,com.paymybuddy.paymybuddy.service,TransactionService,58,254,3,9,12,59,6,11,4,7
paymybuddy,com.paymybuddy.paymybuddy.service,UserService,61,214,4,8,15,48,7,13,4,10
paymybuddy,com.paymybuddy.paymybuddy.service,DBUserDetailsService,35,6,2,0,6,3,2,1,1,1
paymybuddy,com.paymybuddy.paymybuddy.service,ConnectionService,10,240,1,15,2,56,2,17,1,10
paymybuddy,com.paymybuddy.paymybuddy.service,PaginationService,47,3,2,0,10,1,2,1,1,1
paymybuddy,com.paymybuddy.paymybuddy.service,BankAccountService,39,7,0,0,9,2,4,2,4,2
